family,expert_a,expert_b,mean_acc_a,mean_acc_b,approx_overlap_lower,approx_overlap_upper,note
RC,attention_v2,graph,0.4999999900658925,0.5722222228844961,0.07222221295038866,0.4999999900658925,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention_v2,graph,0.7444444497426351,0.9805555542310079,0.7250000039736431,0.7444444497426351,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention_v2,graph,0.6638888915379842,0.7361111243565878,0.400000015894572,0.6638888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention_v2,joint,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,attention_v2,joint,0.49166667461395264,0.5444444318612417,0.03611110647519444,0.49166667461395264,Approximate range only; requires per-sample predictions for exact overlap.
C,attention_v2,joint,0.8972222010294596,0.9638888835906982,0.8611110846201577,0.8972222010294596,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention_v2,joint,0.7555555701255798,0.7444444298744202,0.5,0.7444444298744202,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention_v2,joint,0.4999999900658925,0.5083333452542623,0.0083333353201549,0.4999999900658925,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention_v2,joint,0.7444444497426351,0.9888888994852701,0.7333333492279053,0.7444444497426351,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention_v2,joint,0.6638888915379842,0.7388888994852701,0.4027777910232544,0.6638888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention_v2,joint_co,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,attention_v2,joint_co,0.49166667461395264,0.5638888974984487,0.055555572112401475,0.49166667461395264,Approximate range only; requires per-sample predictions for exact overlap.
C,attention_v2,joint_co,0.8972222010294596,0.9722222288449606,0.8694444298744202,0.8972222010294596,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention_v2,joint_co,0.7555555701255798,0.7416666547457377,0.4972222248713174,0.7416666547457377,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention_v2,joint_co,0.4999999900658925,0.522222230831782,0.02222222089767456,0.4999999900658925,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention_v2,joint_co,0.7444444497426351,0.9972222248713175,0.7416666746139526,0.7444444497426351,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention_v2,joint_co,0.6638888915379842,0.7194444537162781,0.38333334525426244,0.6638888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention_v2,joint_co_d3,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,attention_v2,joint_co_d3,0.49166667461395264,0.6416666706403097,0.13333334525426244,0.49166667461395264,Approximate range only; requires per-sample predictions for exact overlap.
C,attention_v2,joint_co_d3,0.8972222010294596,0.9833333492279053,0.8805555502573648,0.8972222010294596,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention_v2,joint_co_d3,0.7555555701255798,0.7083333532015482,0.46388892332712794,0.7083333532015482,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention_v2,joint_co_d3,0.4999999900658925,0.6027777791023254,0.1027777691682179,0.4999999900658925,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention_v2,joint_co_d3,0.7444444497426351,0.9805555542310079,0.7250000039736431,0.7444444497426351,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention_v2,joint_co_d3,0.6638888915379842,0.7472222248713175,0.41111111640930176,0.6638888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention_v2,mlp,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,attention_v2,mlp,0.49166667461395264,0.5749999980131785,0.066666672627131,0.49166667461395264,Approximate range only; requires per-sample predictions for exact overlap.
C,attention_v2,mlp,0.8972222010294596,0.49166665474573773,0.3888888557751973,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention_v2,mlp,0.7555555701255798,0.7222222089767456,0.47777777910232544,0.7222222089767456,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention_v2,mlp,0.4999999900658925,0.48888887961705524,0.0,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention_v2,mlp,0.7444444497426351,1.0,0.7444444497426352,0.7444444497426351,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention_v2,mlp,0.6638888915379842,0.7583333452542623,0.4222222367922466,0.6638888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,graph,joint,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,graph,joint,0.6555555462837219,0.5444444318612417,0.19999997814496373,0.5444444318612417,Approximate range only; requires per-sample predictions for exact overlap.
C,graph,joint,0.524999996026357,0.9638888835906982,0.4888888796170554,0.524999996026357,Approximate range only; requires per-sample predictions for exact overlap.
FR,graph,joint,0.7305555542310079,0.7444444298744202,0.4749999841054282,0.7305555542310079,Approximate range only; requires per-sample predictions for exact overlap.
RC,graph,joint,0.5722222228844961,0.5083333452542623,0.08055556813875842,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FC,graph,joint,0.9805555542310079,0.9888888994852701,0.9694444537162781,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,graph,joint,0.7361111243565878,0.7388888994852701,0.4750000238418579,0.7361111243565878,Approximate range only; requires per-sample predictions for exact overlap.
F,graph,joint_co,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,graph,joint_co,0.6555555462837219,0.5638888974984487,0.21944444378217076,0.5638888974984487,Approximate range only; requires per-sample predictions for exact overlap.
C,graph,joint_co,0.524999996026357,0.9722222288449606,0.4972222248713176,0.524999996026357,Approximate range only; requires per-sample predictions for exact overlap.
FR,graph,joint_co,0.7305555542310079,0.7416666547457377,0.4722222089767456,0.7305555542310079,Approximate range only; requires per-sample predictions for exact overlap.
RC,graph,joint_co,0.5722222228844961,0.522222230831782,0.09444445371627808,0.522222230831782,Approximate range only; requires per-sample predictions for exact overlap.
FC,graph,joint_co,0.9805555542310079,0.9972222248713175,0.9777777791023254,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,graph,joint_co,0.7361111243565878,0.7194444537162781,0.45555557807286595,0.7194444537162781,Approximate range only; requires per-sample predictions for exact overlap.
F,graph,joint_co_d3,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,graph,joint_co_d3,0.6555555462837219,0.6416666706403097,0.2972222169240317,0.6416666706403097,Approximate range only; requires per-sample predictions for exact overlap.
C,graph,joint_co_d3,0.524999996026357,0.9833333492279053,0.5083333452542624,0.524999996026357,Approximate range only; requires per-sample predictions for exact overlap.
FR,graph,joint_co_d3,0.7305555542310079,0.7083333532015482,0.43888890743255615,0.7083333532015482,Approximate range only; requires per-sample predictions for exact overlap.
RC,graph,joint_co_d3,0.5722222228844961,0.6027777791023254,0.17500000198682164,0.5722222228844961,Approximate range only; requires per-sample predictions for exact overlap.
FC,graph,joint_co_d3,0.9805555542310079,0.9805555542310079,0.9611111084620159,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,graph,joint_co_d3,0.7361111243565878,0.7472222248713175,0.4833333492279053,0.7361111243565878,Approximate range only; requires per-sample predictions for exact overlap.
F,graph,mlp,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,graph,mlp,0.6555555462837219,0.5749999980131785,0.23055554429690028,0.5749999980131785,Approximate range only; requires per-sample predictions for exact overlap.
C,graph,mlp,0.524999996026357,0.49166665474573773,0.016666650772094727,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,graph,mlp,0.7305555542310079,0.7222222089767456,0.45277776320775365,0.7222222089767456,Approximate range only; requires per-sample predictions for exact overlap.
RC,graph,mlp,0.5722222228844961,0.48888887961705524,0.061111102501551384,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,graph,mlp,0.9805555542310079,1.0,0.980555554231008,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,graph,mlp,0.7361111243565878,0.7583333452542623,0.4944444696108501,0.7361111243565878,Approximate range only; requires per-sample predictions for exact overlap.
F,joint,joint_co,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint,joint_co,0.5444444318612417,0.5638888974984487,0.10833332935969042,0.5444444318612417,Approximate range only; requires per-sample predictions for exact overlap.
C,joint,joint_co,0.9638888835906982,0.9722222288449606,0.9361111124356589,0.9638888835906982,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint,joint_co,0.7444444298744202,0.7416666547457377,0.48611108462015773,0.7416666547457377,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint,joint_co,0.5083333452542623,0.522222230831782,0.03055557608604431,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint,joint_co,0.9888888994852701,0.9972222248713175,0.9861111243565877,0.9888888994852701,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint,joint_co,0.7388888994852701,0.7194444537162781,0.4583333532015481,0.7194444537162781,Approximate range only; requires per-sample predictions for exact overlap.
F,joint,joint_co_d3,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint,joint_co_d3,0.5444444318612417,0.6416666706403097,0.18611110250155138,0.5444444318612417,Approximate range only; requires per-sample predictions for exact overlap.
C,joint,joint_co_d3,0.9638888835906982,0.9833333492279053,0.9472222328186035,0.9638888835906982,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint,joint_co_d3,0.7444444298744202,0.7083333532015482,0.4527777830759683,0.7083333532015482,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint,joint_co_d3,0.5083333452542623,0.6027777791023254,0.11111112435658788,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint,joint_co_d3,0.9888888994852701,0.9805555542310079,0.9694444537162781,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint,joint_co_d3,0.7388888994852701,0.7472222248713175,0.48611112435658765,0.7388888994852701,Approximate range only; requires per-sample predictions for exact overlap.
F,joint,mlp,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint,mlp,0.5444444318612417,0.5749999980131785,0.11944442987442017,0.5444444318612417,Approximate range only; requires per-sample predictions for exact overlap.
C,joint,mlp,0.9638888835906982,0.49166665474573773,0.45555553833643603,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint,mlp,0.7444444298744202,0.7222222089767456,0.46666663885116577,0.7222222089767456,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint,mlp,0.5083333452542623,0.48888887961705524,0.0,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint,mlp,0.9888888994852701,1.0,0.98888889948527,0.9888888994852701,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint,mlp,0.7388888994852701,0.7583333452542623,0.49722224473953247,0.7388888994852701,Approximate range only; requires per-sample predictions for exact overlap.
F,joint_co,joint_co_d3,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint_co,joint_co_d3,0.5638888974984487,0.6416666706403097,0.20555556813875842,0.5638888974984487,Approximate range only; requires per-sample predictions for exact overlap.
C,joint_co,joint_co_d3,0.9722222288449606,0.9833333492279053,0.955555578072866,0.9722222288449606,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint_co,joint_co_d3,0.7416666547457377,0.7083333532015482,0.4500000079472859,0.7083333532015482,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint_co,joint_co_d3,0.522222230831782,0.6027777791023254,0.12500000993410731,0.522222230831782,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint_co,joint_co_d3,0.9972222248713175,0.9805555542310079,0.9777777791023254,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint_co,joint_co_d3,0.7194444537162781,0.7472222248713175,0.4666666785875955,0.7194444537162781,Approximate range only; requires per-sample predictions for exact overlap.
F,joint_co,mlp,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint_co,mlp,0.5638888974984487,0.5749999980131785,0.1388888955116272,0.5638888974984487,Approximate range only; requires per-sample predictions for exact overlap.
C,joint_co,mlp,0.9722222288449606,0.49166665474573773,0.46388888359069824,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint_co,mlp,0.7416666547457377,0.7222222089767456,0.46388886372248317,0.7222222089767456,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint_co,mlp,0.522222230831782,0.48888887961705524,0.01111111044883728,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint_co,mlp,0.9972222248713175,1.0,0.9972222248713174,0.9972222248713175,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint_co,mlp,0.7194444537162781,0.7583333452542623,0.4777777989705405,0.7194444537162781,Approximate range only; requires per-sample predictions for exact overlap.
F,joint_co_d3,mlp,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,joint_co_d3,mlp,0.6416666706403097,0.5749999980131785,0.21666666865348816,0.5749999980131785,Approximate range only; requires per-sample predictions for exact overlap.
C,joint_co_d3,mlp,0.9833333492279053,0.49166665474573773,0.47500000397364306,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,joint_co_d3,mlp,0.7083333532015482,0.7222222089767456,0.4305555621782937,0.7083333532015482,Approximate range only; requires per-sample predictions for exact overlap.
RC,joint_co_d3,mlp,0.6027777791023254,0.48888887961705524,0.09166665871938062,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,joint_co_d3,mlp,0.9805555542310079,1.0,0.980555554231008,0.9805555542310079,Approximate range only; requires per-sample predictions for exact overlap.
FRC,joint_co_d3,mlp,0.7472222248713175,0.7583333452542623,0.5055555701255798,0.7472222248713175,Approximate range only; requires per-sample predictions for exact overlap.
