seed,policy,strategy,lambda,overall_accuracy,pure_accuracy,mixed_accuracy,mean_flops,active_experts,p_k1,p_k2,p_k3,k_entropy,composition_entropy,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
23,Adaptive k (Margin-Based),margin,0.0,0.6119047403335571,0.6638888915379842,0.5729166641831398,30896.533333333333,1.161904761904762,0.8797619047619047,0.07857142857142857,0.041666666666666664,0.6419787355414354,1.57359361336481,1.0,0.49166667461395264,0.5,0.7250000238418579,0.5166666507720947,0.4833333194255829,0.5666666626930237
23,Random Composition (Control A6),random,0.0,0.6214285492897034,0.6777777870496114,0.5791666731238365,53125.038095238095,2.0238095238095237,0.32857142857142857,0.319047619047619,0.3523809523809524,1.5836945065475194,3.763261721072245,0.6666666865348816,0.5583333373069763,0.8083333373069763,0.675000011920929,0.5,0.46666666865348816,0.675000011920929
37,Adaptive k (Learned),learned,0.0,0.5607143044471741,0.600000003973643,0.5312499925494194,53695.066666666666,2.2095238095238097,0.025,0.7404761904761905,0.23452380952380952,0.9446951684607716,2.078914926035349,0.75,0.550000011920929,0.5,0.6416666507720947,0.4583333432674408,0.44999998807907104,0.574999988079071
37,Adaptive k (Cost-Aware λ=0.01),learned,0.01,0.6654762029647827,0.7083333333333334,0.6333333253860474,85791.24285714286,2.825,0.011904761904761904,0.15119047619047618,0.8369047619047619,0.7031490960507285,1.1828697362200387,0.5833333134651184,0.5666666626930237,0.9750000238418579,0.7083333134651184,0.5833333134651184,0.49166667461395264,0.75
37,Adaptive k (Cost-Aware λ=0.10),learned,0.1,0.5738095045089722,0.6527777711550394,0.5145833343267441,41690.96666666667,2.3345238095238097,0.0,0.6654761904761904,0.3345238095238095,0.9194817125453804,1.8761400263640797,0.8333333134651184,0.5416666865348816,0.5833333134651184,0.5666666626930237,0.46666666865348816,0.4833333194255829,0.5416666865348816
37,Adaptive k (Cost-Aware λ=0.30),learned,0.3,0.5761904716491699,0.6805555621782938,0.49791666865348816,25861.82380952381,1.8773809523809524,0.12261904761904761,0.8773809523809524,0.0,0.5368426717102442,1.5688767134458192,1.0,0.5416666865348816,0.5,0.6000000238418579,0.4166666567325592,0.4749999940395355,0.5
37,Adaptive k (Cost-Aware λ=1.00),learned,1.0,0.5714285969734192,0.6777777870496114,0.49166666716337204,20908.1,1.9821428571428572,0.017857142857142856,0.9821428571428571,0.0,0.1292337748458849,0.651962799384352,1.0,0.5333333611488342,0.5,0.5583333373069763,0.4000000059604645,0.49166667461395264,0.5166666507720947
37,Adaptive k (Entropy-Based),entropy,0.0,0.5785714387893677,0.5833333233992258,0.574999988079071,44982.07142857143,1.6178571428571429,0.5785714285714286,0.225,0.19642857142857142,1.4021433030461798,2.2868216049589236,0.75,0.5166666507720947,0.4833333194255829,0.7749999761581421,0.5,0.44999998807907104,0.574999988079071
37,Adaptive k (Margin-Based),margin,0.0,0.5738095045089722,0.5777777830759684,0.5708333253860474,39288.719047619044,1.2226190476190477,0.8261904761904761,0.125,0.04880952380952381,0.8152253304832686,1.5139788594708585,0.75,0.49166667461395264,0.49166667461395264,0.7416666746139526,0.5,0.44999998807907104,0.5916666388511658
37,Random Composition (Control A6),random,0.0,0.6154761910438538,0.6777777671813965,0.5687500014901161,52178.219047619044,1.9904761904761905,0.33690476190476193,0.3357142857142857,0.3273809523809524,1.5848456231289936,3.7670532451562546,0.5916666388511658,0.6000000238418579,0.8416666388511658,0.6083333492279053,0.5249999761581421,0.40833333134651184,0.7333333492279053
