seed,policy,k_policy,aggregation,overall_accuracy,pure_accuracy,mixed_accuracy,mean_flops,active_experts,composition_entropy,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC,strategy,lambda,p_k1,p_k2,p_k3,k_entropy
23,Sequential Graph->MLP,sequential_k=2,sequential_chain,0.5083333253860474,0.5,0.5145833268761635,17040.0,2.0,0.0,0.5,0.5083333253860474,0.49166667461395264,0.5416666865348816,0.4833333194255829,0.5166666507720947,0.5166666507720947,,,,,,
23,Sequential MLP->Graph,sequential_k=2,sequential_chain,0.5452380776405334,0.5861111084620158,0.5145833268761635,17040.0,2.0,0.0,0.75,0.5166666507720947,0.49166667461395264,0.5583333373069763,0.4833333194255829,0.5,0.5166666507720947,,,,,,
23,Sequential AttnV2->MLP,sequential_k=2,sequential_chain,0.6607142686843872,0.7472222248713175,0.5958333313465118,55224.0,2.0,0.0,1.0,0.49166667461395264,0.75,0.7166666388511658,0.5333333611488342,0.44999998807907104,0.6833333373069763,,,,,,
23,Sequential Graph->AttnV2,sequential_k=2,sequential_chain,0.5297619104385376,0.5361111164093018,0.5249999985098839,54408.0,2.0,0.0,0.25,0.5083333253860474,0.8500000238418579,0.30000001192092896,0.5416666865348816,0.4833333194255829,0.7749999761581421,,,,,,
23,Sequential AttnV2->Graph,sequential_k=2,sequential_chain,0.5547618865966797,0.5861111183961233,0.53125,54408.0,2.0,0.0,0.75,0.5416666865348816,0.46666666865348816,0.6666666865348816,0.4833333194255829,0.5083333253860474,0.46666666865348816,,,,,,
23,Adaptive k (Learned),,,0.6809523701667786,0.7944444417953491,0.5958333313465118,71809.31428571428,3.0,1.3591485184683745,0.9833333492279053,0.5666666626930237,0.8333333134651184,0.675000011920929,0.44999998807907104,0.5666666626930237,0.6916666626930237,learned,0.0,0.0,0.0,1.0,0.0
23,Adaptive k (Cost-Aware λ=0.01),,,0.6761904954910278,0.7388888796170553,0.6291666626930237,43809.51904761905,1.1297619047619047,1.2114380909016327,0.75,0.5,0.9666666388511658,0.6499999761581421,0.5,0.5416666865348816,0.824999988079071,learned,0.01,0.875,0.12023809523809524,0.004761904761904762,0.5727506570055626
23,Adaptive k (Cost-Aware λ=0.10),,,0.6273809671401978,0.7166666686534882,0.5604166612029076,43428.74285714285,1.8571428571428572,1.3061126410255253,1.0,0.6666666865348816,0.4833333194255829,0.699999988079071,0.5583333373069763,0.5,0.4833333194255829,learned,0.1,0.14285714285714285,0.8571428571428571,0.0,0.5916727785823275
23,Adaptive k (Cost-Aware λ=0.30),,,0.6166666746139526,0.6888888776302338,0.5624999925494194,52483.18095238095,2.780952380952381,0.7953273526784208,1.0,0.5833333134651184,0.4833333194255829,0.7166666388511658,0.5166666507720947,0.5333333611488342,0.4833333194255829,learned,0.3,0.10952380952380952,0.0,0.8904761904761904,0.4984779510551734
23,Adaptive k (Cost-Aware λ=1.00),,,0.6071428656578064,0.6666666666666666,0.5625000074505806,10148.252380952381,1.0202380952380952,0.14277529991820162,1.0,0.49166667461395264,0.5083333253860474,0.7333333492279053,0.5083333253860474,0.5333333611488342,0.4749999940395355,learned,1.0,0.9797619047619047,0.02023809523809524,0.0,0.14277529991820162
