seed,condition,combination,F,R,C,FR,RC,FC,FRC
23,agg_max,F+C,1.0,0.5666666626930237,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184
23,agg_max,F+R+C,1.0,0.6083333492279053,1.0,0.7583333253860474,0.5083333253860474,0.5,0.824999988079071
23,cap_mlp,F,1.0,0.5666666626930237,0.800000011920929,0.6666666865348816,0.46666666865348816,0.5,0.699999988079071
23,cap_mlp,R,1.0,0.625,0.7416666746139526,0.6499999761581421,0.4833333194255829,0.46666666865348816,0.7083333134651184
23,cap_mlp,C,0.8916666507720947,0.550000011920929,0.9916666746139526,0.7416666746139526,0.5083333253860474,0.5,0.8333333134651184
23,cap_mlp,F+R,1.0,0.6499999761581421,0.7416666746139526,0.6666666865348816,0.4749999940395355,0.4749999940395355,0.699999988079071
23,cap_mlp,R+C,1.0,0.625,0.9916666746139526,0.7166666388511658,0.5166666507720947,0.5,0.8333333134651184
23,cap_mlp,F+C,1.0,0.574999988079071,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184
23,cap_mlp,F+R+C,1.0,0.625,0.9916666746139526,0.7083333134651184,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,cap_control_featwide,F,1.0,0.5916666388511658,0.8833333253860474,0.7916666865348816,0.5,0.5249999761581421,0.7083333134651184
23,cap_control_featwide,R,1.0,0.5083333253860474,0.8833333253860474,0.675000011920929,0.49166667461395264,0.5249999761581421,0.7416666746139526
23,cap_control_featwide,C,0.9416666626930237,0.5583333373069763,1.0,0.675000011920929,0.5083333253860474,0.5,0.8333333134651184
23,cap_control_featwide,F+R,1.0,0.6083333492279053,0.8500000238418579,0.7583333253860474,0.4833333194255829,0.5166666507720947,0.699999988079071
23,cap_control_featwide,R+C,0.949999988079071,0.5666666626930237,1.0,0.6916666626930237,0.5083333253860474,0.5,0.8333333134651184
23,cap_control_featwide,F+C,1.0,0.5833333134651184,0.9916666746139526,0.7749999761581421,0.5083333253860474,0.5,0.8333333134651184
23,cap_control_featwide,F+R+C,1.0,0.6083333492279053,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184
37,baseline,F,1.0,0.5083333253860474,0.9083333611488342,0.75,0.5333333611488342,0.49166667461395264,0.7250000238418579
37,baseline,R,1.0,0.625,0.7749999761581421,0.7916666865348816,0.5249999761581421,0.4749999940395355,0.6416666507720947
37,baseline,C,0.9333333373069763,0.5,0.9916666746139526,0.7416666746139526,0.5833333134651184,0.49166667461395264,0.7749999761581421
37,baseline,F+R,1.0,0.5916666388511658,0.75,0.800000011920929,0.4749999940395355,0.46666666865348816,0.6583333611488342
37,baseline,R+C,0.9416666626930237,0.7166666388511658,0.9916666746139526,0.7583333253860474,0.6000000238418579,0.49166667461395264,0.75
37,baseline,F+C,1.0,0.5166666507720947,0.9750000238418579,0.7833333611488342,0.574999988079071,0.4833333194255829,0.7583333253860474
37,baseline,F+R+C,1.0,0.6333333253860474,0.9833333492279053,0.7916666865348816,0.5916666388511658,0.4833333194255829,0.75
37,depth2,F,1.0,0.5916666388511658,0.925000011920929,0.800000011920929,0.5916666388511658,0.5166666507720947,0.7333333492279053
