seed,condition,control,variant,R,RC,FRC
11,rel_first,token,token_permuted,0.4833333194255829,0.5166666507720947,0.7916666865348816
23,graph,destruction,original,0.925000011920929,0.574999988079071,0.5166666507720947
23,graph,destruction,relational_permuted,0.5583333373069763,0.49166667461395264,0.5666666626930237
23,graph,marker,original,0.925000011920929,0.574999988079071,0.5166666507720947
23,graph,marker,marker_neutralised,0.9083333611488342,0.6000000238418579,0.5249999761581421
23,graph,token,original,0.925000011920929,0.574999988079071,0.5166666507720947
23,graph,token,token_permuted,0.550000011920929,0.5666666626930237,0.6083333492279053
23,baseline,destruction,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.8333333134651184
23,baseline,marker,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,marker,marker_neutralised,0.6499999761581421,0.5416666865348816,0.4416666626930237
23,baseline,token,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,token,token_permuted,0.5083333253860474,0.5083333253860474,0.824999988079071
23,depth3,destruction,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,destruction,relational_permuted,0.550000011920929,0.5083333253860474,0.8333333134651184
23,depth3,marker,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,marker,marker_neutralised,0.5833333134651184,0.5166666507720947,0.4416666626930237
23,depth3,token,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,token,token_permuted,0.5249999761581421,0.5083333253860474,0.8333333134651184
23,rel_focused,destruction,original,0.6499999761581421,0.5,0.5249999761581421
23,rel_focused,destruction,relational_permuted,0.44999998807907104,0.4000000059604645,0.5
23,rel_focused,marker,original,0.6499999761581421,0.5,0.5249999761581421
23,rel_focused,marker,marker_neutralised,0.5583333373069763,0.5249999761581421,0.4749999940395355
23,rel_focused,token,original,0.6499999761581421,0.5,0.5249999761581421
23,rel_focused,token,token_permuted,0.44999998807907104,0.5416666865348816,0.574999988079071
23,rel_first,destruction,original,0.7083333134651184,0.5166666507720947,0.824999988079071
23,rel_first,destruction,relational_permuted,0.5,0.5083333253860474,0.8166666626930237
23,rel_first,marker,original,0.7083333134651184,0.5166666507720947,0.824999988079071
23,rel_first,marker,marker_neutralised,0.5416666865348816,0.5916666388511658,0.4333333373069763
23,rel_first,token,original,0.7083333134651184,0.5166666507720947,0.824999988079071
23,rel_first,token,token_permuted,0.5583333373069763,0.5083333253860474,0.8166666626930237
37,graph,destruction,original,0.8416666388511658,0.4749999940395355,0.5666666626930237
37,graph,destruction,relational_permuted,0.5166666507720947,0.5583333373069763,0.5249999761581421
37,graph,marker,original,0.8416666388511658,0.4749999940395355,0.5666666626930237
37,graph,marker,marker_neutralised,0.8583333492279053,0.4749999940395355,0.5583333373069763
37,graph,token,original,0.8416666388511658,0.4749999940395355,0.5666666626930237
37,graph,token,token_permuted,0.5833333134651184,0.5416666865348816,0.550000011920929
37,baseline,destruction,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,destruction,relational_permuted,0.6083333492279053,0.5916666388511658,0.7583333253860474
37,baseline,marker,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,marker,marker_neutralised,0.6666666865348816,0.44999998807907104,0.49166667461395264
37,baseline,token,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,token,token_permuted,0.6166666746139526,0.5833333134651184,0.75
37,depth3,destruction,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,destruction,relational_permuted,0.6499999761581421,0.5916666388511658,0.7666666507720947
37,depth3,marker,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,marker,marker_neutralised,0.5833333134651184,0.4416666626930237,0.5
37,depth3,token,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,token,token_permuted,0.625,0.5833333134651184,0.7666666507720947
37,rel_focused,destruction,original,0.6416666507720947,0.5,0.4333333373069763
37,rel_focused,destruction,relational_permuted,0.6166666746139526,0.46666666865348816,0.4583333432674408
37,rel_focused,marker,original,0.6416666507720947,0.5,0.4333333373069763
37,rel_focused,marker,marker_neutralised,0.6000000238418579,0.5416666865348816,0.5
37,rel_focused,token,original,0.6416666507720947,0.5,0.4333333373069763
37,rel_focused,token,token_permuted,0.574999988079071,0.4749999940395355,0.4333333373069763
37,rel_first,destruction,original,0.6166666746139526,0.5833333134651184,0.75
37,rel_first,destruction,relational_permuted,0.5916666388511658,0.5916666388511658,0.7583333253860474
37,rel_first,marker,original,0.6166666746139526,0.5833333134651184,0.75
37,rel_first,marker,marker_neutralised,0.6166666746139526,0.4833333194255829,0.49166667461395264
37,rel_first,token,original,0.6166666746139526,0.5833333134651184,0.75
37,rel_first,token,token_permuted,0.5583333373069763,0.574999988079071,0.7583333253860474
